split_layer,drop_rate,accuracy
23,0.05,0.697
23,0.1,0.694
23,0.15,0.69
23,0.2,0.672
23,0.25,0.668
23,0.3,0.65
23,0.35,0.627
23,0.4,0.618
23,0.45,0.598
23,0.5,0.566
23,0.55,0.528
23,0.6,0.475
23,0.65,0.443
23,0.7,0.385
23,0.75,0.292
23,0.8,0.216
23,0.85,0.116
23,0.9,0.071
23,0.95,0.021
24,0.0,0.703
24,0.05,0.697
24,0.1,0.694
24,0.15,0.69
24,0.2,0.672
24,0.25,0.668
24,0.3,0.65
24,0.35,0.627
24,0.4,0.618
24,0.45,0.598
24,0.5,0.566
24,0.55,0.528
24,0.6,0.475
24,0.65,0.443
24,0.7,0.385
24,0.75,0.292
24,0.8,0.216
24,0.85,0.116
24,0.9,0.071
24,0.95,0.021
25,0.0,0.703
25,0.05,0.696
25,0.1,0.689
25,0.15,0.668
25,0.2,0.661
25,0.25,0.651
25,0.3,0.62
25,0.35,0.611
25,0.4,0.59
25,0.45,0.552
25,0.5,0.547
25,0.55,0.492
25,0.6,0.455
25,0.65,0.392
25,0.7,0.329
25,0.75,0.267
25,0.8,0.216
25,0.85,0.104
25,0.9,0.039
25,0.95,0.015
26,0.0,0.703
26,0.05,0.696
26,0.1,0.689
26,0.15,0.668
26,0.2,0.661
26,0.25,0.651
26,0.3,0.62
26,0.35,0.611
26,0.4,0.59
26,0.45,0.552
26,0.5,0.547
26,0.55,0.492
26,0.6,0.455
26,0.65,0.392
26,0.7,0.329
26,0.75,0.267
26,0.8,0.216
26,0.85,0.104
26,0.9,0.039
26,0.95,0.015
27,0.0,0.703
27,0.05,0.696
27,0.1,0.689
27,0.15,0.668
27,0.2,0.661
27,0.25,0.651
27,0.3,0.619
27,0.35,0.611
27,0.4,0.59
27,0.45,0.552
27,0.5,0.547
27,0.55,0.493
27,0.6,0.455
27,0.65,0.392
27,0.7,0.328
27,0.75,0.267
27,0.8,0.215
27,0.85,0.104
27,0.9,0.039
27,0.95,0.015
28,0.0,0.703
28,0.05,0.695
28,0.1,0.689
28,0.15,0.684
28,0.2,0.671
28,0.25,0.644
28,0.3,0.625
28,0.35,0.609
28,0.4,0.603
28,0.45,0.561
28,0.5,0.53
28,0.55,0.474
28,0.6,0.443
28,0.65,0.363
28,0.7,0.319
28,0.75,0.234
28,0.8,0.154
28,0.85,0.083
28,0.9,0.057
28,0.95,0.02
29,0.0,0.703
29,0.05,0.695
29,0.1,0.689
29,0.15,0.684
29,0.2,0.671
29,0.25,0.644
29,0.3,0.625
29,0.35,0.609
29,0.4,0.603
