split_layer,drop_rate,sigma,accuracy
5,0.0,0.6643,0.5956666666666667
5,0.19,0.6643,0.492
5,0.38,0.6643,0.3499999999999999
5,0.57,0.6643,0.06566666666666666
5,0.76,0.6643,0.025000000000000005
5,0.95,0.6643,0.0013333333333333333
5,0.0,0.7857,0.5886666666666667
5,0.19,0.7857,0.47433333333333333
5,0.38,0.7857,0.3316666666666667
5,0.57,0.7857,0.05266666666666667
5,0.76,0.7857,0.021666666666666667
5,0.95,0.7857,0.002
5,0.0,0.9071,0.5706666666666667
5,0.19,0.9071,0.45766666666666667
5,0.38,0.9071,0.306
5,0.57,0.9071,0.03866666666666666
5,0.76,0.9071,0.017666666666666667
5,0.95,0.9071,0.0016666666666666668
5,0.0,1.0286,0.5533333333333333
5,0.19,1.0286,0.434
5,0.38,1.0286,0.2956666666666667
5,0.57,1.0286,0.03333333333333333
5,0.76,1.0286,0.016666666666666666
5,0.95,1.0286,0.0030000000000000005
5,0.0,1.15,0.5296666666666666
5,0.19,1.15,0.408
5,0.38,1.15,0.264
5,0.57,1.15,0.026
5,0.76,1.15,0.015333333333333332
5,0.95,1.15,0.004333333333333334
5,0.0,1.2714,0.519
5,0.19,1.2714,0.38199999999999995
5,0.38,1.2714,0.245
5,0.57,1.2714,0.023000000000000003
5,0.76,1.2714,0.013666666666666667
5,0.95,1.2714,0.005333333333333333
5,0.0,1.3929,0.5016666666666667
5,0.19,1.3929,0.363
5,0.38,1.3929,0.21666666666666667
5,0.57,1.3929,0.019666666666666666
5,0.76,1.3929,0.013
5,0.95,1.3929,0.004666666666666667
5,0.0,1.5143,0.4843333333333333
5,0.19,1.5143,0.3383333333333334
5,0.38,1.5143,0.19033333333333333
5,0.57,1.5143,0.019000000000000003
5,0.76,1.5143,0.01
5,0.95,1.5143,0.004666666666666667
5,0.0,1.6357,0.462
5,0.19,1.6357,0.3153333333333333
5,0.38,1.6357,0.1723333333333333
5,0.57,1.6357,0.018333333333333337
5,0.76,1.6357,0.007333333333333333
5,0.95,1.6357,0.0033333333333333335
5,0.0,1.7571,0.4366666666666667
5,0.19,1.7571,0.2896666666666667
5,0.38,1.7571,0.14633333333333334
5,0.57,1.7571,0.015333333333333332
5,0.76,1.7571,0.006333333333333333
5,0.95,1.7571,0.0023333333333333335
5,0.0,1.8786,0.4183333333333333
5,0.19,1.8786,0.26766666666666666
5,0.38,1.8786,0.12433333333333334
5,0.57,1.8786,0.015333333333333332
5,0.76,1.8786,0.005333333333333333
5,0.95,1.8786,0.0030000000000000005
5,0.0,2.0,0.38599999999999995
5,0.19,2.0,0.235
5,0.38,2.0,0.10766666666666667
5,0.57,2.0,0.013
5,0.76,2.0,0.0030000000000000005
5,0.95,2.0,0.002
6,0.0,0.0,0.703
6,0.19,0.0,0.691
6,0.38,0.0,0.676
6,0.57,0.0,0.408
6,0.76,0.0,0.225
6,0.95,0.0,0.007
6,0.0,0.3,0.6983333333333333
6,0.19,0.3,0.6803333333333335
6,0.38,0.3,0.656
6,0.57,0.3,0.308
6,0.76,0.3,0.13533333333333333
6,0.95,0.3,0.005333333333333333
6,0.0,0.4214,0.698
6,0.19,0.4214,0.6833333333333335
6,0.38,0.4214,0.6503333333333333
6,0.57,0.4214,0.2973333333333333
6,0.76,0.4214,0.12733333333333333
6,0.95,0.4214,0.004333333333333334
6,0.0,0.5429,0.7003333333333334
6,0.19,0.5429,0.6826666666666666
6,0.38,0.5429,0.6356666666666667
6,0.57,0.5429,0.2743333333333334
6,0.76,0.5429,0.109
6,0.95,0.5429,0.004333333333333334
6,0.0,0.6643,0.6976666666666667
6,0.19,0.6643,0.6789999999999999
6,0.38,0.6643,0.616
6,0.57,0.6643,0.23399999999999999
6,0.76,0.6643,0.08833333333333333
6,0.95,0.6643,0.0030000000000000005
6,0.0,0.7857,0.6880000000000001
6,0.19,0.7857,0.6629999999999999
6,0.38,0.7857,0.5910000000000001
6,0.57,0.7857,0.20333333333333334
6,0.76,0.7857,0.068
6,0.95,0.7857,0.0026666666666666666
6,0.0,0.9071,0.6786666666666669
6,0.19,0.9071,0.6473333333333333
6,0.38,0.9071,0.5603333333333333
6,0.57,0.9071,0.16533333333333333
6,0.76,0.9071,0.055999999999999994
6,0.95,0.9071,0.002
6,0.0,1.0286,0.6646666666666667
6,0.19,1.0286,0.6269999999999999
6,0.38,1.0286,0.5233333333333333
6,0.57,1.0286,0.136
6,0.76,1.0286,0.039
6,0.95,1.0286,0.0030000000000000005
6,0.0,1.15,0.6463333333333333
6,0.19,1.15,0.5803333333333333
6,0.38,1.15,0.4756666666666667
6,0.57,1.15,0.104
6,0.76,1.15,0.02366666666666667
6,0.95,1.15,0.002
6,0.0,1.2714,0.607
6,0.19,1.2714,0.5423333333333334
6,0.38,1.2714,0.415
6,0.57,1.2714,0.07633333333333332
6,0.76,1.2714,0.015666666666666666
6,0.95,1.2714,0.002
6,0.0,1.3929,0.582
6,0.19,1.3929,0.5026666666666667
6,0.38,1.3929,0.34400000000000003
6,0.57,1.3929,0.05266666666666667
6,0.76,1.3929,0.01
6,0.95,1.3929,0.002
6,0.0,1.5143,0.5366666666666667
6,0.19,1.5143,0.4486666666666667
6,0.38,1.5143,0.2876666666666667
6,0.57,1.5143,0.034
6,0.76,1.5143,0.006666666666666665
6,0.95,1.5143,0.0026666666666666666
6,0.0,1.6357,0.48933333333333334
6,0.19,1.6357,0.38999999999999996
6,0.38,1.6357,0.2383333333333333
6,0.57,1.6357,0.023000000000000003
6,0.76,1.6357,0.004333333333333334
6,0.95,1.6357,0.0023333333333333335
6,0.0,1.7571,0.4423333333333333
6,0.19,1.7571,0.327
6,0.38,1.7571,0.19000000000000003
6,0.57,1.7571,0.016666666666666666
6,0.76,1.7571,0.004
6,0.95,1.7571,0.001
6,0.0,1.8786,0.38433333333333336
6,0.19,1.8786,0.27
6,0.38,1.8786,0.15166666666666664
6,0.57,1.8786,0.015
6,0.76,1.8786,0.0026666666666666666
6,0.95,1.8786,0.0013333333333333333
6,0.0,2.0,0.3293333333333333
6,0.19,2.0,0.217
